tx_hash_prefix,tx_hash,fee,energy_usage,energy_fee,origin_energy_usage,energy_usage_total,net_usage,net_fee,result,energy_penalty_total,partition
6d5e6,376d5e64318f81523c465659cc01d0b7ee3a7fd615cc6d33599e49f1384375f7,0,31895,0,0,31895,345,0,1,0,500
aea5d,6caea5d2003f93c8797574f67eda27f2e20f97aa1703b1aa52fec132a3e0108b,0,0,0,0,0,280,0,0,0,500
87902,5087902d8104ae4470d6cd893c5eab7e7cc29e0c5e0d3970cb397cf330c0092d,27600900,0,27255900,0,64895,0,345000,1,345000,500
0bc45,610bc45aa6315b1a99c6a618bcf601b00aac22d5ae10d85bca33f038f32ca3eb,0,0,0,0,0,265,0,0,0,500
c8c33,3ac8c33f696da4c96a7c369ea134f3f1b20ec38988583acd4ea13813a3362164,0,0,0,0,0,265,0,0,0,500
de4b6,dede4b6547fb827317fb3ee62920fea5924b7cfb157b9d15cd4a8eabd11f4c61,0,0,0,0,0,268,0,0,0,500
fa835,0bfa835bd37c633f0f87d01ce6208943adccae8996accc086ee19c8d6cd132cb,13741900,0,13395900,0,31895,0,346000,1,346000,500
83ff4,f283ff4614a757f56b241e9a274a8dc86fad1b3489d3c00ca6f133424478c9b1,27600900,0,27255900,0,64895,0,345000,1,345000,500
9de71,d09de7125eb9e6a78c95a277a882cdd590a712a5ec3e9d6cd344284feb99c295,13525860,512,13180860,0,31895,0,345000,1,345000,500
67867,9b67867aaa94c215b28f34350a4ff74d5c3412aaadbc23db3eb000478d4198e9,0,31895,0,0,31895,345,0,1,0,500
3209e,3e3209e1df0cdf151842214b98a514cf215269a66ff026f73807ced27e75d991,13395900,0,13395900,0,31895,345,0,1,0,500
45809,6d45809778576fd58b3ac4bfc6ec0a7b198ad4bf003cb9e996c363b56d51ec41,0,31895,0,0,31895,345,0,1,0,500
f176e,a4f176e58852435f210d642f995203f2de8f9bb0ca47399dcc0134633e4174a5,0,0,0,0,0,280,0,0,0,500
cf8ed,7bcf8edad9a88d3e89fa0bf85fbb5e977be5388db747a5223cb1a3eb70e42da9,13395900,0,13395900,0,31895,345,0,1,0,500
